category,pro_name,pro_price,pro_review,pro_url
trang-diem-mat,"Combo Nước Hoa Hồng, Serum và Kem Dưỡng Trị Mụn Some By Mi  AHA-BHA-PHA 30 Ngày - Combo Toner, Serum và Kem Dưỡng Trị Mụn Some By Mi  AHA-BHA-PHA 30 Ngày - Combo Nước Hoa Hồng, Tinh Chất và Kem Dưỡng Trị Mụn Some By Mi  AHA-BHA-PHA 30 Ngày",693000.00,16,https://www.lazada.vn/products/combo-nuoc-hoa-hong-serum-va-kem-duong-tri-mun-some-by-mi-aha-bha-pha-30-ngay-combo-toner-serum-va-kem-duong-tri-mun-some-by-mi-aha-bha-pha-30-ngay-combo-nuoc-hoa-hong-tinh-chat-va-kem-duong-tri-mun-some-by-mi-aha-bha-pha-30-ngay-i248747451-s326790072.html?search=1
trang-diem-mat,Bảng phấn mắt 10 màu Colour Geometry Lameila CG22,21600,100,https://www.lazada.vn/products/bang-phan-mat-10-mau-colour-geometry-lameila-cg22-i248092119-s323813597.html?search=1
trang-diem-mat,HOT SET GEL NHŨ MẮT KIM TUYẾN 6 CÂY #STILA,50000.00,2,https://www.lazada.vn/products/hot-set-gel-nhu-mat-kim-tuyen-6-cay-stila-i273106068-s415738346.html?search=1
trang-diem-mat,8 Khuôn kẻ chân mày + Dây buộc mẫu mới (tặng chì kẻ mày),48000.00,5,https://www.lazada.vn/products/8-khuon-ke-chan-may-day-buoc-mau-moi-tang-chi-ke-may-i257140913-s355347918.html?search=1
trang-diem-mat,Bảng phấn mắt Play Color Eyes Lameila PC23,21600,185,https://www.lazada.vn/products/bang-phan-mat-play-color-eyes-lameila-pc23-i246760360-s317892827.html?search=1
trang-diem-mat,Bảng Phấn Mắt NUDE HUDAMOJI,97000.00,1,https://www.lazada.vn/products/bang-phan-mat-nude-hudamoji-i266364039-s386144390.html?search=1
trang-diem-mat,Bộ Khuôn Kẻ Con Dấu In Lông Mày SHEZI,35000,62,https://www.lazada.vn/products/bo-khuon-ke-con-dau-in-long-may-shezi-i170574657-s186530793.html?search=1
trang-diem-mat,Mascara làm dài và tơi mi Maybelline New York Lash Sensational 10ml (Đen),162000.00,594,https://www.lazada.vn/products/mascara-lam-dai-va-toi-mi-maybelline-new-york-lash-sensational-10ml-den-i258119198-s357605787.html?search=1
trang-diem-mat,Chì kẻ mày 2in1 NoVo Makeup Seduce (KẺ MÀY + KẺ MẮT),60000.00,107,https://www.lazada.vn/products/chi-ke-may-2in1-novo-makeup-seduce-ke-may-ke-mat-i230196387-s292152594.html?search=1
trang-diem-mat,(GIÁ RẺ) Bảng Màu Mắt Phấn Mắt 10 Màu EyeShadow Matte Ánh Nhũ  Lameila Color play L0109,23000.00,53,https://www.lazada.vn/products/gia-re-bang-mau-mat-phan-mat-10-mau-eyeshadow-matte-anh-nhu-lameila-color-play-l0109-i266434295-s386468646.html?search=1
trang-diem-mat,Bảng Màu Mắt Odbo Galaxy Có Nhũ Tông Cam Gạch OD201 - Bảng Phấn Mắt Odbo Galaxy Có Nhũ Tông Cam Đất - Bảng Mắt Odbo Tông Cam Gạch - Phấn Mắt Tông Cam Gạch - Bảng Màu Mắt Odbo Tông Tây Cam Đất - Bảng Phấn Mắt Odbo Tông Tây Cam Gạch - Màu Mắt Thái Cam Gạch,144000.00,0,https://www.lazada.vn/products/bang-mau-mat-odbo-galaxy-co-nhu-tong-cam-gach-od201-bang-phan-mat-odbo-galaxy-co-nhu-tong-cam-dat-bang-mat-odbo-tong-cam-gach-phan-mat-tong-cam-gach-bang-mau-mat-odbo-tong-tay-cam-dat-bang-phan-mat-odbo-tong-tay-cam-gach-mau-mat-thai-cam-gach-i280072387-s437372977.html?search=1
trang-diem-mat,Dầu Dừa Dưỡng Mi Nguyên Chất 100%,29000.00,0,https://www.lazada.vn/products/dau-dua-duong-mi-nguyen-chat-100-i251389713-s333291721.html?search=1
trang-diem-mat,"[TẶNG KÈM ĐÈN LED DẺO] Hộp chì kẻ chân mày novo (Gồm bút chì, 3 khuôn kẻ, 3 ruột bút chì) NOVO",55000.00,0,https://www.lazada.vn/products/tang-kem-den-led-deo-hop-chi-ke-chan-may-novo-gom-but-chi-3-khuon-ke-3-ruot-but-chi-novo-i279704209-s436620797.html?search=1
trang-diem-mat,Bút Kẻ Lông Mày Gẩy Sợi 4D Fine Skech Miking Pretty,23000.00,69,https://www.lazada.vn/products/but-ke-long-may-gay-soi-4d-fine-skech-miking-pretty-i256286781-s351170230.html?search=1
