category,page,page_url,pro_name,pro_price,pro_review,pro_url
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Bút Kẻ Mắt Sáp Nước Kim Tuyến Bộ 6 Cây,47000.00,1,https://www.lazada.vn/products/but-ke-mat-sap-nuoc-kim-tuyen-bo-6-cay-i273390429-s416836828.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8, Bảng phấn mắt Play Color Eyes của Lameila hàng nội địa Trung,25000.00,290,https://www.lazada.vn/products/bang-phan-mat-play-color-eyes-cua-lameila-hang-noi-dia-trung-i247761619-s322770773.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Bộ Chì Mày Định Hình Novo Fashion Brow + TẶNG Kèm 3 Khuôn Kẻ Mày Và 3 Đầu Chì Thay Thế,40000.00,27,https://www.lazada.vn/products/bo-chi-may-dinh-hinh-novo-fashion-brow-tang-kem-3-khuon-ke-may-va-3-dau-chi-thay-the-i246134027-s316011537.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,Phấn mắt 2 line Northshow 5 ô kèm cọ,85000.00,0,https://www.lazada.vn/products/phan-mat-2-line-northshow-5-o-kem-co-i258571216-s358741735.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,"[TẶNG KÈM ĐÈN LED DẺO] Hộp chì kẻ chân mày novo (Gồm bút chì, 3 khuôn kẻ, 3 ruột bút chì) NOVO",55000.00,0,https://www.lazada.vn/products/tang-kem-den-led-deo-hop-chi-ke-chan-may-novo-gom-but-chi-3-khuon-ke-3-ruot-but-chi-novo-i279704209-s436620797.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,Bảng Màu Mắt Odbo Galaxy Có Nhũ Tông Cam Gạch OD201 - Bảng Phấn Mắt Odbo Galaxy Có Nhũ Tông Cam Đất - Bảng Mắt Odbo Tông Cam Gạch - Phấn Mắt Tông Cam Gạch - Bảng Màu Mắt Odbo Tông Tây Cam Đất - Bảng Phấn Mắt Odbo Tông Tây Cam Gạch - Màu Mắt Thái Cam Gạch,144000.00,0,https://www.lazada.vn/products/bang-mau-mat-odbo-galaxy-co-nhu-tong-cam-gach-od201-bang-phan-mat-odbo-galaxy-co-nhu-tong-cam-dat-bang-mat-odbo-tong-cam-gach-phan-mat-tong-cam-gach-bang-mau-mat-odbo-tong-tay-cam-dat-bang-phan-mat-odbo-tong-tay-cam-gach-mau-mat-thai-cam-gach-i280072387-s437372977.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,Dầu Dừa Dưỡng Mi Nguyên Chất 100%,29000.00,0,https://www.lazada.vn/products/dau-dua-duong-mi-nguyen-chat-100-i251389713-s333291721.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,Bảng Phấn Mắt NUDE HUDAMOJI,97000.00,1,https://www.lazada.vn/products/bang-phan-mat-nude-hudamoji-i266364039-s386144390.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Mascara Obuse Double Wear Thái Lan,180000.00,0,https://www.lazada.vn/products/mascara-obuse-double-wear-thai-lan-i261282780-s367822738.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,SÁP MẮT NHŨ DẠNG THỎI NOVO,35000.00,247,https://www.lazada.vn/products/sap-mat-nhu-dang-thoi-novo-i214317360-s268479698.html?search=1
