TIME,"BitcoinTalk 
Username","BitcoinTalk  
Profile",Twitter Link,Followers,ETH Wallet Address,Comments,Notes,Tokens Awarded,Reason
2018/04/18 11:34:32,stakan4,https://bitcointalk.org/index.php?action=profile;u=1420932,https://twitter.com/quas1986,5200,0x4a5D9eBE7fEFBc72F6fd30456026A4b65604ebe3,,,,
2018/04/19 12:14:59,Tie_wie,https://bitcointalk.org/index.php?action=profile;u=1803950;sa=summary,https://mobile.twitter.com/aoleng27685445,1550,0x37FC14a503004F0F91239bc7F74857683AB17Ce9,,,,
2018/04/19 12:31:41,EstimatedValueXXX,https://bitcointalk.org/index.php?action=profile;u=1411398,https://twitter.com/V606458451,501,0x6f6B9A91a78C2e23eA086e45a53111FfA61195aD,,,,
2018/04/19 12:40:36,avizar,https://bitcointalk.org/index.php?action=profile;u=1197286,https://twitter.com/Avizzarr,5924,0x9F4864255B14E1515F0aF13E395adbcD0F421B20,,,,
2018/04/19 01:41:41,oondeel,https://bitcointalk.org/index.php?action=profile;u=1970749,https://mobile.twitter.com/Zainul10411162,1500,0xe5d231c3A729Bf0049E8E6CA64318Fc9b3eD632a,,,,
2018/04/19 03:16:18,dron8809,https://bitcointalk.org/index.php?action=profile;u=1470244,https://twitter.com/dron88091,3600,0xdbE361DD9D736220150C4a85561e012cefBE6AE5,,,,
2018/04/19 03:57:27,CrazyClock,https://bitcointalk.org/index.php?action=profile;u=1218802,https://twitter.com/CrazyClock105,2291,0x23ef66867765aDFaA9DbC518C76B42865710A114,,,,
2018/04/19 04:11:26,Olga Zagorodnyaya,https://bitcointalk.org/index.php?action=profile;u=1692050,https://twitter.com/PinkFoxic,1972,0x32C235751A2C9C7f472d6eC6068E1608b6a35aD9,,,,
2018/04/19 04:25:20,nofear_hamster,https://bitcointalk.org/index.php?action=profile;u=1915636,https://twitter.com/mitinvla,5287,0xfEaE77bc0754D793dBCD707e058cC58956A8B6aB,,,,
2018/04/19 06:18:57,makkosh,https://bitcointalk.org/index.php?action=profile;u=1871185,https://twitter.com/makkosh_tm,54,0x718bC9b19a1f7077420d015090837B17D0dBB079,,,,
2018/04/19 06:54:13,Mr. Pavel,https://bitcointalk.org/index.php?action=profile;u=1589865;sa=summary,https://twitter.com/Kissnoone,3267,0xc7f81C5A4D142295eC3f4052759d505f71A06826,,,,
2018/04/19 07:10:35,2025803,https://bitcointalk.org/index.php?action=profile;u=2025803,https://twitter.com/idol_fes,12722,0xC44Bf13A9980194DbbA435379b88242c9F6A4622,,,,
2018/04/19 07:19:36,Sengoku_lanbu,https://bitcointalk.org/index.php?action=profile;u=2025803,https://twitter.com/idol_fes,12722,0xC44Bf13A9980194DbbA435379b88242c9F6A4622,,,,
2018/04/19 07:34:42,hh4mmm,https://bitcointalk.org/index.php?action=profile;u=1213121,https://www.twitter.com/harrygh20,1160,0x21B20e4A807e56c2f1958a59301cEd78e7d97061,,,,
2018/04/19 10:12:09,Sentoy,https://bitcointalk.org/index.php?action=profile;u=1031992;sa=summary,https://www.twitter.com/SuwantaTata,1800,0xF68E5086078A84233117183A84cb044021A8144A,,,,
2018/04/19 12:04:20,ayeba,https://bitcointalk.org/index.php?action=profile;u=1642756,https://twitter.com/AKPEKIAYEBAESIN,637,0x5797fb230A42be745104b0cAc063850c66B6D982,,,,
2018/04/19 02:33:37,Devang,https://bitcointalk.org/index.php?action=profile;u=1953796;sa=summary,https://twitter.com/Devanggupta7/status/986855260248420352?s=20,14,0xDbC1fE2B4538bb7b05afDf74FbeDD885E7a911fE,,,,
2018/04/19 03:00:56,pranimbo,https://bitcointalk.org/index.php?action=profile;u=1495332,https://twitter.com/Yokopranimbo3,10500,0x80b16E5ce38F3f9c89cFBCeF1aD1a5696A66E579,,,,
2018/04/19 03:42:03,raresh,https://bitcointalk.org/index.php?action=profile;u=1899477,https://twitter.com/NausGlobal/status/974481846070231040,2140,0xC7557805cCBB50f005F2dFB5e595a7303F0a1f05,,,,
2018/04/19 06:28:13,baliesta_undr,https://bitcointalk.org/index.php?action=profile;u=527529,https://twitter.com/DanataRober,743,0x5FfF7b6426a3AAE8fe1426Aea34C59313b51F42a,,,,
2018/04/19 08:08:01,seth13,https://bitcointalk.org/index.php?action=profile;u=1921826,https://twitter.com/NausGlobal/status/974481846070231040,258,0x984950083643456A2959c9EE2184789af996b84f,,,,
2018/04/20 10:33:19,Kripto.hsv,https://m.facebook.com/adilsetaiwan9,https://mobile.twitter.com/adielsetiawan1,450,0x69fb146D0Fd6f833eA9329c5e019aE47C0A04915,,,,
2018/04/20 07:25:50,cryptodiamond12,https://bitcointalk.org/index.php?action=profile;u=1080113,https://twitter.com/cryptodiamond03,474,0x726BaCe9730fb734bE6Bc7631FC29BAD8fE3A0f2,,,,
2018/04/21 08:06:07,airdropplaza,https://bitcointalk.org/index.php?action=profile;u=1856491,https://twitter.com/crypto_ted,218,0xbB9214920D1AaE481fcEc77401df9fB0235E5843,,,,
2018/04/21 10:35:46,Fred3030,https://bitcointalk.org/index.php?action=profile;u=1614757;sa=account,https://mobile.twitter.com/njoku_chidima,560,0xdb3aBa66Da08C1Bc770B9B764048f7fD9C3dCdba,,,,
2018/04/21 10:55:24,jamesndungu1,https://bitcointalk.org/index.php?action=profile;u=1856049,https://twitter.com/jamesndungu,32,0x8E8A5B6e2ABF1Bb64759bDd4DBe788F45B1D4f54,,,,
2018/04/21 03:30:38,bernardsab,https://bitcointalk.org/index.php?action=profile;u=1795196,https://twitter.com/NausGlobal/status/974481846070231040,69,0x7518E2D21b169cC8139ff32649aAcb6774359266,,,,
2018/04/22 02:09:27,Crasengover,https://bitcointalk.org/index.php?action=profile;u=1110446,https://twitter.com/ATertyichnyiy,11000,0xBbE18dfd758ffB3a2acBCbb215e351E59176F63e,,,,
2018/04/22 01:02:13,MuhamadDikri,https://bitcointalk.org/index.php?action=profile;u=1318848;sa=summary,https://twitter.com/MuhamadDikri_1,17000,0xE9D3D4E6977a3a901a91AC8648EA8a1e16E1829E,,,,
2018/04/23 02:20:22,lapunder,https://bitcointalk.org/index.php?action=profile;u=1143381,https://twitter.com/YuriLapunov,4000,0xBeF99A4AB7CDA864FA69066d27d5cc248f4038a9,,,,
2018/04/23 05:58:08,invincible49,https://bitcointalk.org/index.php?action=profile;u=1215448,https://twitter.com/quoting_lives,5328,0x0F67e5867b72a8E8802d7a509a7b8F64ae5A5Db3,,,,
2018/4/23 11:08,raveepisini,https://bitcointalk.org/index.php?action=profile;u=1769455;sa=account,https://twitter.com/rpisini77,52,0xA15b701999b68480425Db6ecaf0f6Ec55943eCFd,,,,
2018/4/23 05:21,Hantublang,https://bitcointalk.org/index.php?action=profile;u=1354905,https://mobile.twitter.com/Anggel74258155,3300,0xe1a17C6a5bBcF230e0664Baeb6F1956aF2CaDf25,,,,
2018/4/23 10:13,Izenk,https://bitcointalk.org/index.php?action=profile;u=1677513,https://www.twitter.com/Izenk10,3465,0xAb2B9e7e1279f9f11F39c96614c77Ed2684503ac,,,,
2018/4/24 02:43,prokerduit,https://bitcointalk.org/index.php?action=profile;u=1534829,https://twitter.com/DavanishFauzi,2300,0x945279550FA9E8Def8E8aB06F97c79f6254cddde,,,,
2018/4/24 09:16,Jombang,https://bitcointalk.org/index.php?action=profile;u=1153639,https://twitter.com/dndyrw,222,0xF3991948628234ea7b71FB4b70160258b5A0865c,,,,
2018/4/24 04:18,illusion_ishita,https://bitcointalk.org/index.php?action=profile;u=1489275;,https://twitter.com/annmon_a,1014,0xc10Bd0e6b87836D35fadd0c65195dc239DCCB1F1,,,,
2018/4/24 06:46,764y111,https://bitcointalk.org/index.php?action=profile;u=1547657,http://twitter.com/Huym1992?s=07,2244,0xd2f24d90a9151d700101c52486bfd5774fd0f0b2,,,,
2018/4/24 07:23,krabovD,https://bitcointalk.org/index.php?action=profile;u=1466209,https://twitter.com/eugene_korn,5800,0xb5DA02400090A1f1D32496A908174837571356ef,,,,
2018/4/25 02:42,Christina30,https://bitcointalk.org/index.php?action=profile;u=1209892;sa=summary,https://mobile.twitter.com/Marianaled25,2200,0x99bF569A0aFef5077696a014B227207F8c8a3E5B,,,,
2018/4/25 06:41,proekrduit,https://bitcointalk.org/index.php?action=profile;u=1534829,https://twitter.com/DavanishFauzi,2300,0x945279550FA9E8Def8E8aB06F97c79f6254cddde,,,,
2018/4/25 08:09,exclusiv4ek14,https://bitcointalk.org/index.php?action=profile;u=1971819,https://twitter.com/theIIouvre,4340,0xf50c86a6b04473cE641C9b257FE857B90E1363FD,,,,
2018/4/27 02:22,xxxzero,https://bitcointalk.org/index.php?action=profile;u=1239266,https://twitter.com/blinonecom,4200,0x1f3562FC215F9fcA22d4dCd1a7c16A6f1e623F9E,,,,
2018/4/27 09:46,Overlord_9,https://bitcointalk.org/index.php?action=profile;u=1855008,https://twitter.com/Crypto_Pack,1300,0xe57c2014c494be7262a4dd18f3142092c55a3d08,,,,
