category,main class,item name,price range,price_min,price_max,monthly sales,item url,item picture
美妝保健,開架流行清潔保養,【DDT】 innisfree 悅詩風吟 真萃鮮潤面膜 面膜 100%正品 my real squeeze 現貨 A5,$24 ,24,24,1526,https://shopee.tw/【DDT】-innisfree-悅詩風吟-真萃鮮潤面膜-面膜-100-正品-my-real-squeeze-現貨-A5-i.16584973.144267082,https://cf.shopee.tw/file/e0752687c431b2959a0c47a7d6e75bba
美妝保健,開架流行清潔保養,(?現貨?正品?全新)Sesedior 金箔美白/煥彩/抗皺/燕窩/玫瑰/蜂毒/淡斑/保濕/胎盤素/拉提 面膜 30ml,$9 - $13,9,13,3185,https://shopee.tw/(?現貨?正品?全新)Sesedior-金箔美白-煥彩-抗皺-燕窩-玫瑰-蜂毒-淡斑-保濕-胎盤素-拉提-面膜-30ml-i.58143523.1150328908,https://cf.shopee.tw/file/a297ccb1a1a81b8aa90440e2c0a790d2
美妝保健,開架流行清潔保養,?韓國連線?限時特價JM solution 海洋珍珠 水光蜂蜜 蠶絲面膜 酪梨面膜 急救補水 大米 藥丸 玫瑰,$24 - $35,24,35,2137,https://shopee.tw/?韓國連線?限時特價JM-solution-海洋珍珠-水光蜂蜜-蠶絲面膜-酪梨面膜-急救補水-大米-藥丸-玫瑰-i.65689031.1607536200,https://cf.shopee.tw/file/5995862e7054b2759699320255149833
美妝保健,開架流行清潔保養,洗顏專科超微米潔顏乳120g新升級,$125 ,125,125,1393,https://shopee.tw/洗顏專科超微米潔顏乳120g新升級-i.28944793.1207614547,https://cf.shopee.tw/file/62916d8cc90c89da7c1d0a063a3805e7
美妝保健,開架流行清潔保養,【梨大小姐10片送痘痘貼】VT CICA 積雪草老虎面膜 老虎積雪草面膜 老虎面膜 面膜 VT Cosmetics,$44 ,44,44,1332,https://shopee.tw/【梨大小姐10片送痘痘貼】VT-CICA-積雪草老虎面膜-老虎積雪草面膜-老虎面膜-面膜-VT-Cosmetics-i.32084592.1239742207,https://cf.shopee.tw/file/3accd6b78ee090950ca7a17d788facb2
美妝保健,開架流行清潔保養,單顆$12/5顆$50/一盒24顆$240 ETUDE HOUSE 伊蒂小屋 - 小蘇打 極淨毛孔去角質乳升級版 7g,$10 ,10,10,1577,https://shopee.tw/單顆-12-5顆-50-一盒24顆-240-ETUDE-HOUSE-伊蒂小屋-小蘇打-極淨毛孔去角質乳升級版-7g-i.5354709.381832636,https://cf.shopee.tw/file/0d881d6dbaf401d351a87b7b46be739d
美妝保健,開架流行清潔保養,［現貨］黃白金超導 黑面膜 時空膠囊 保濕修護 淨白 金箔 拉提 提亮 亮白 24K 極潤 美肌 膠原蛋白泡泡面膜 保濕,$9 - $14,9,14,2206,https://shopee.tw/［現貨］黃白金超導-黑面膜-時空膠囊-保濕修護-淨白-金箔-拉提-提亮-亮白-24K-極潤-美肌-膠原蛋白泡泡面膜-保濕-i.8953336.80594226,https://cf.shopee.tw/file/e3969950e6eeeb2b970e31a11472d2f9
美妝保健,開架流行清潔保養,正品現貨附發票【3124】特價ETUDE HOUSE 天天敷肌蜜面膜 玻尿酸面膜 玻尿酸 保濕面膜 etudehouse,$19 ,19,19,1764,https://shopee.tw/正品現貨附發票【3124】特價ETUDE-HOUSE-天天敷肌蜜面膜-玻尿酸面膜-玻尿酸-保濕面膜-etudehouse-i.2543564.58848984,https://cf.shopee.tw/file/a40423a0d9cc82ceba3f2eaead20b2f1
美妝保健,開架流行清潔保養,RANESS 胺基酸奇蹟洗顏乳??現貨供應免運,$720 ,720,720,1241,https://shopee.tw/RANESS-胺基酸奇蹟洗顏乳??現貨供應免運-i.4091791.1272425916,https://cf.shopee.tw/file/315bc1a016021ea864d986060dc7b8c0
美妝保健,開架流行清潔保養,imju薏仁清潤化妝水500ml【康是美】,$225 ,225,225,1228,https://shopee.tw/imju薏仁清潤化妝水500ml【康是美】-i.33206500.606977178,https://cf.shopee.tw/file/db2e40b786ca9cdabc982de73a9169a1
