时间戳记,Your Bitcointalk Username,Your Forum Profile Link,Your Telegram name,Your Ethereum Address,
2018/04/18 7:59:20 下午 GMT+8,molecular,https://bitcointalk.org/index.php?actionprofile;u3771,madabadfs,0xd5218156b5d7190e84952e17545a27ED08C75256,in
2018/04/18 7:59:22 下午 GMT+8,JacobWilliami,https://bitcointalk.org/index.php?actionprofile;u1867902,talkwithmes,0x2368BA8643727BAb5B8eEA86a8b1718C40e72b59,in
2018/04/18 7:59:40 下午 GMT+8,deviant99,https://bitcointalk.org/index.php?actionprofile;u1121666,maivantiem,0x585487e9ce3d736b0ec7c39118b629f0296213a9,in
2018/04/18 7:59:49 下午 GMT+8,paraipan,https://bitcointalk.org/index.php?actionprofile;u29395,bdbvcncgbxf,0x8693F7Bbbcf270F8a6dF0d71aAD1d2FfE86c29A5,in
2018/04/18 7:59:53 下午 GMT+8,MadelynCohen,https://bitcointalk.org/index.php?actionprofile;u1862659,englegennd,0xE50415D81e2FDd15bc462e47473935528E7ADf60,in
2018/04/18 7:59:53 下午 GMT+8,terrytibbs,https://bitcointalk.org/index.php?actionprofile;u25477,lilipeart,0x936C51eF6C59bb58936ACF4750B8d6F9530232B0,in
2018/04/18 8:00:01 下午 GMT+8,pyna,https://bitcointalk.org/index.php?actionprofile;u31918,vietnamdailoan,0x85Fa61de8026683d3EdFd4aFA8F8af86DaE2E6dA,not in
2018/04/18 8:00:01 下午 GMT+8,BurtW,https://bitcointalk.org/index.php?actionprofile;u14808,WWdsbmzcbbfb,0xdF6f59F54933121b6dF03347431649F33dDC45c2,not in
2018/04/18 8:00:08 下午 GMT+8,theymos,https://bitcointalk.org/index.php?actionprofile;u35,hungkhai92,0x694B55b89842ea2399047057a60DE832C524d2a0,in
2018/04/18 8:00:15 下午 GMT+8,greenclub09,https://bitcointalk.org/index.php?actionprofile;u1075266,popovnm,0x6dc9e8c83410cdc1dbdb0e2858708c57c3d7e5efa,not in
2018/04/18 8:00:19 下午 GMT+8,mocacinno,https://bitcointalk.org/index.php?actionprofile;u405464,mariasonosuke,0x84fa907bCDdF9cdFB5A45C04E932392A302Ce9fF,in
2018/04/18 8:00:21 下午 GMT+8,jackjack,https://bitcointalk.org/index.php?actionprofile;u21053,entertaiment93,0x15ba445bd2614ebA6C2B434A412b036589c3FA09,in
2018/04/18 8:00:34 下午 GMT+8,ThomasV,https://bitcointalk.org/index.php?actionprofile;u3137,frankestions,0xF4Ae1DDc00EF1c6B650Bb7C8aDa8EA3649fBF5a1,in
2018/04/18 8:00:42 下午 GMT+8,finway,https://bitcointalk.org/index.php?actionprofile;u40315,sunnykingdom,0x3C9fE78d2538819eff1cE97350AC1c220A87E2F9,in
2018/04/18 8:00:48 下午 GMT+8,HostFat,https://bitcointalk.org/index.php?actionprofile;u203,yesnoquestion,0xf5B4f681688e7064eFe3Cf0177c30A4b0Fe86234,in
2018/04/18 8:00:53 下午 GMT+8,sapnu,https://bitcointalk.org/index.php?actionprofile;u968835,rezanazarig2,0x3a25a11d31c0f6016f2aa39821f899dbd107238f,in
2018/04/18 8:00:55 下午 GMT+8,winnetou,https://bitcointalk.org/index.php?actionprofile;u10533,loveyoupapa95,0x31AC1c2d7D3C209BcC4eE9999789b1c1877aFcb1,in
2018/04/18 8:00:59 下午 GMT+8,molecular,https://bitcointalk.org/index.php?actionprofile;u3771,JenniferByrne,0x6795Ce6eAB95Fc49745A9bc2f78e7B6DF0B01C21,in
2018/04/18 8:01:06 下午 GMT+8,JayCoin?? ? ? ? ? ? ? ? ?,https://bitcointalk.org/index.php?actionprofile;u47375,hunterkiller1223,0xd5FB910770Aa72664a74f163Fb1A6a4F5b7d3608,in
2018/04/18 8:01:10 下午 GMT+8,achow101,https://bitcointalk.org/index.php?actionprofile;u290195,lucacumanches,0x6867F135FF735f2fF83637Ccdc780A8B2DCA894A,in
2018/04/18 8:01:25 下午 GMT+8,dinox,https://bitcointalk.org/index.php?actionprofile;u12615,autumn196,0x0d509eF8b3e39274619aCE9351c558ADd7dED829,in
2018/04/18 8:01:29 下午 GMT+8,The00Dustin,https://bitcointalk.org/index.php?actionprofile;u31502,ElliotWilliams,0x34a464d51b726F786b15e0B8f553016a7b569d45,in
2018/04/18 8:01:30 下午 GMT+8,shorena,https://bitcointalk.org/index.php?actionprofile;u181801,zedvsyasuo,0x978BB2612DA1C93BA94E88Ba44b9098dBEc1Df1a,in
2018/04/18 8:01:31 下午 GMT+8,enmaku,https://bitcointalk.org/index.php?actionprofile;u13512,changchang197,0x2c113d0446177c0598b52547038b739D701154DA,in
2018/04/18 8:01:32 下午 GMT+8,bitcoinsocial09,https://bitcointalk.org/index.php?actionprofile;u1026160,gotomoonreb,0xa02a804026502c45dbcce1e22ea40cdc19e8210a,in
2018/04/18 8:01:45 下午 GMT+8,Jaycee99,https://bitcointalk.org/index.php?actionprofile;u989652,ablade2019,0xbb99e1a4fd8c7a554f3a3868ee4372cd689bd72f,in
