category,category url,main class,class url
其他類別,https://shopee.tw/其他類別-cat.68,成人專區,https://shopee.tw/成人專區-cat.68.1673
其他類別,https://shopee.tw/其他類別-cat.68,派對小物,https://shopee.tw/派對小物-cat.68.1669
其他類別,https://shopee.tw/其他類別-cat.68,點數貼紙,https://shopee.tw/點數貼紙-cat.68.2678
其他類別,https://shopee.tw/其他類別-cat.68,其他,https://shopee.tw/其他-cat.68.287
美妝保健,https://shopee.tw/美妝保健-cat.67,開架流行清潔保養,https://shopee.tw/開架流行清潔保養-cat.67.15401
美妝保健,https://shopee.tw/美妝保健-cat.67,開架流行彩妝,https://shopee.tw/開架流行彩妝-cat.67.15730
美妝保健,https://shopee.tw/美妝保健-cat.67,專櫃清潔保養,https://shopee.tw/專櫃清潔保養-cat.67.15614
美妝保健,https://shopee.tw/美妝保健-cat.67,專櫃彩妝,https://shopee.tw/專櫃彩妝-cat.67.15701
美妝保健,https://shopee.tw/美妝保健-cat.67,醫美清潔保養,https://shopee.tw/醫美清潔保養-cat.67.15668
美妝保健,https://shopee.tw/美妝保健-cat.67,美髮護理,https://shopee.tw/美髮護理-cat.67.1549
美妝保健,https://shopee.tw/美妝保健-cat.67,身體清潔、保養,https://shopee.tw/身體清潔、保養-cat.67.1547
美妝保健,https://shopee.tw/美妝保健-cat.67,香水、香氛,https://shopee.tw/香水、香氛-cat.67.2659
美妝保健,https://shopee.tw/美妝保健-cat.67,手足保養、美甲,https://shopee.tw/手足保養、美甲-cat.67.1551
美妝保健,https://shopee.tw/美妝保健-cat.67,保健食品、營養品,https://shopee.tw/保健食品、營養品-cat.67.10286
美妝保健,https://shopee.tw/美妝保健-cat.67,私密清潔保養,https://shopee.tw/私密清潔保養-cat.67.10350
美妝保健,https://shopee.tw/美妝保健-cat.67,美容工具,https://shopee.tw/美容工具-cat.67.1557
美妝保健,https://shopee.tw/美妝保健-cat.67,男士保養,https://shopee.tw/男士保養-cat.67.1553
美妝保健,https://shopee.tw/美妝保健-cat.67,其他,https://shopee.tw/其他-cat.67.292
家電影音,https://shopee.tw/家電影音-cat.71,生活家電,https://shopee.tw/生活家電-cat.71.2627
家電影音,https://shopee.tw/家電影音-cat.71,電視機,https://shopee.tw/電視機-cat.71.2625
家電影音,https://shopee.tw/家電影音-cat.71,美容/健康家電,https://shopee.tw/美容-健康家電-cat.71.2628
家電影音,https://shopee.tw/家電影音-cat.71,影音設備,https://shopee.tw/影音設備-cat.71.2623
家電影音,https://shopee.tw/家電影音-cat.71,廚房家電,https://shopee.tw/廚房家電-cat.71.2624
家電影音,https://shopee.tw/家電影音-cat.71,音響、喇叭,https://shopee.tw/音響、喇叭-cat.71.2626
家電影音,https://shopee.tw/家電影音-cat.71,大型家電,https://shopee.tw/大型家電-cat.71.11894
家電影音,https://shopee.tw/家電影音-cat.71,其他,https://shopee.tw/其他-cat.71.289
家電影音,https://shopee.tw/家電影音-cat.71,季節家電,https://shopee.tw/季節家電-cat.71.19448
女生包包/精品,https://shopee.tw/女生包包-精品-cat.65,後背包,https://shopee.tw/後背包-cat.65.1803
女生包包/精品,https://shopee.tw/女生包包-精品-cat.65,側背包/肩背包,https://shopee.tw/側背包-肩背包-cat.65.1805
女生包包/精品,https://shopee.tw/女生包包-精品-cat.65,手提/托特包,https://shopee.tw/手提-托特包-cat.65.1801
女生包包/精品,https://shopee.tw/女生包包-精品-cat.65,皮夾,https://shopee.tw/皮夾-cat.65.1799
女生包包/精品,https://shopee.tw/女生包包-精品-cat.65,名牌精品包,https://shopee.tw/名牌精品包-cat.65.1807
女生包包/精品,https://shopee.tw/女生包包-精品-cat.65,其他,https://shopee.tw/其他-cat.65.300
女生包包/精品,https://shopee.tw/女生包包-精品-cat.65,帆布包,https://shopee.tw/帆布包-cat.65.18843
女生包包/精品,https://shopee.tw/女生包包-精品-cat.65,斜背包,https://shopee.tw/斜背包-cat.65.19527
娛樂、收藏,https://shopee.tw/娛樂、收藏-cat.75,公仔、模型,https://shopee.tw/公仔、模型-cat.75.1589
娛樂、收藏,https://shopee.tw/娛樂、收藏-cat.75,書籍,https://shopee.tw/書籍-cat.75.1593
