Item name,Price,Review num,Item url
Plaid&Plain Men's Flannel Lined Jeans Fleece Lined Insulated Work Pants Slim Bootcut Jeans,$27.99 - $31.99,14,https://www.amazon.com/Plaid-Plain-Flannel-Insulated-Bootcut/dp/B07LCZRZCP/ref=sr_1_466?s=apparel&ie=UTF8&qid=1548232179&sr=1-466&nodeID=1045564&psd=1
Falcon Bay Men's Full Elastic Waist Denim Jeans,$47.95 - $49.99,64,https://www.amazon.com/Falcon-Bay-Senior-Elastic-Waist/dp/B00YTGH8BU/ref=sr_1_467?s=apparel&ie=UTF8&qid=1548232179&sr=1-467&nodeID=1045564&psd=1
Harbor Bay by DXL Big and Tall Full Elastic-Waist Jeans - Updated Fit,$55.00 ,10,https://www.amazon.com/Harbor-Bay-Tall-Elastic-Waist-Jeans/dp/B078WCPWN5/ref=sr_1_468?s=apparel&ie=UTF8&qid=1548232179&sr=1-468&nodeID=1045564&psd=1
Wrangler Men's 20x Flame Resistant Vintage Boot Cut Jean,$65.95 - $124.84,7,https://www.amazon.com/Wrangler-Flame-Resistant-Vintage-Midstone/dp/B06W9M7XDQ/ref=sr_1_469?s=apparel&ie=UTF8&qid=1548232179&sr=1-469&nodeID=1045564&psd=1
Calvin Klein Men's Skinny Fit Denim Jean,$27.99 - $109.98,94,https://www.amazon.com/Calvin-Klein-Jeans-Skinny-Denim/dp/B071JS897L/ref=sr_1_470?s=apparel&ie=UTF8&qid=1548232179&sr=1-470&nodeID=1045564&psd=1
Levi's Men's Made in The USA 511 Slim Fit Jean,$88.00 - $98.00,6,https://www.amazon.com/Levis-Mens-Made-Medium-Authentic-x/dp/B07214RXK6/ref=sr_1_471?s=apparel&ie=UTF8&qid=1548232179&sr=1-471&nodeID=1045564&psd=1
Levi's Men's Made in The USA 511 Slim Fit Jean Medium Authentic 32 30,$88.00 ,1,https://www.amazon.com/Levis-Mens-Made-Medium-Authentic-x/dp/B07214PL3L/ref=sr_1_472?s=apparel&ie=UTF8&qid=1548232179&sr=1-472&nodeID=1045564&psd=1
ARIAT Men's M4 Rebar Low Rise Boot Cut Stretch Jean,$39.35 - $68.65,29,https://www.amazon.com/Ariat-REBAR-Bootcut-Stretch-Carbine/dp/B014K8APXO/ref=sr_1_473?s=apparel&ie=UTF8&qid=1548232179&sr=1-473&nodeID=1045564&psd=1
Buffalo David Bitton Men's Driven Straight Leg Jean,$61.07 - $99.00,26,https://www.amazon.com/Buffalo-David-Bitton-Mens-Driven/dp/B011QTLXPO/ref=sr_1_474?s=apparel&ie=UTF8&qid=1548232179&sr=1-474&nodeID=1045564&psd=1
Stetson Men's Rocker Fit with Lower Rise and Slightly Fitted Thigh Jean,$52.49 - $97.50,64,https://www.amazon.com/Stetson-Mens-1014-Rocker-Bootcut/dp/B00EMHPS54/ref=sr_1_475?s=apparel&ie=UTF8&qid=1548232179&sr=1-475&nodeID=1045564&psd=1
Mrpick Men's Drop Crotch Stretch Denim Jogger Jeans,$25.99 ,25,https://www.amazon.com/Mrpick-Crotch-Stretch-Denim-Jogger/dp/B075F6KDQY/ref=sr_1_476?s=apparel&ie=UTF8&qid=1548232179&sr=1-476&nodeID=1045564&psd=1
Nautica Men's Relaxed Fit Jean Pant,$44.95 ,143,https://www.amazon.com/Nautica-Mens-Relaxed-Submerge-38Wx34L/dp/B00S13JHZM/ref=sr_1_477?s=apparel&ie=UTF8&qid=1548232179&sr=1-477&nodeID=1045564&psd=1
Lucky Brand Men's 110 Modern Skinny Jean,$27.94 - $99.00,3,https://www.amazon.com/Lucky-Brand-Modern-Skinny-Heights/dp/B07CJM3PWR/ref=sr_1_478?s=apparel&ie=UTF8&qid=1548232179&sr=1-478&nodeID=1045564&psd=1
Buffalo David Bitton Men's Six-x Straight Fit Denim Jean,$26.74 - $99.00,8,https://www.amazon.com/Buffalo-David-Bitton-Straight-Sanded/dp/B07K19X8B4/ref=sr_1_479?s=apparel&ie=UTF8&qid=1548232179&sr=1-479&nodeID=1045564&psd=1
Pishon Men's Distressed Jeans Casual Solid Straight Leg Stretch Skinny Ripped Jeans,$24.99 ,59,https://www.amazon.com/Pishon-Distressed-Casual-Straight-Stretch/dp/B074PSLHXW/ref=sr_1_480?s=apparel&ie=UTF8&qid=1548232179&sr=1-480&nodeID=1045564&psd=1
Levi's Men's 501 Original Shrink-to-fit Jean,$12.94 - $69.50,21,https://www.amazon.com/Levis-Original-Shrink-Break-Purple-Shrink/dp/B077G5NVN4/ref=sr_1_481?s=apparel&ie=UTF8&qid=1548232187&sr=1-481&nodeID=1045564&psd=1
Silver Jeans Co. Men's Big and Tall Eddie Relaxed Fit Tapered Leg Jeans,$56.40 - $228.05,10,https://www.amazon.com/Silver-Jeans-Co-Relaxed-Tapered/dp/B0719F4T85/ref=sr_1_482?s=apparel&ie=UTF8&qid=1548232187&sr=1-482&nodeID=1045564&psd=1
Wrangler Men's Flame Resistant Regular Fit Jean,$36.47 - $123.55,7,https://www.amazon.com/Wrangler-Flame-Resistant-Regular-42x32/dp/B072DWH7TS/ref=sr_1_483?s=apparel&ie=UTF8&qid=1548232187&sr=1-483&nodeID=1045564&psd=1
526Jeanswear Mens Designer KATO Stretch Skinny Fit Jeans BNWT,$23.99 - $33.99,27,https://www.amazon.com/526Jeanswear-Designer-Distressed-Stretch-Lightwash/dp/B01LX234FO/ref=sr_1_484?s=apparel&ie=UTF8&qid=1548232187&sr=1-484&nodeID=1045564&psd=1
Just No Logo Men's Slim Fit Light Blue Ripped Jeans Destroyed Denim,$28.99 ,126,https://www.amazon.com/Just-No-Logo-Ripped-Destroyed/dp/B073WT3FNZ/ref=sr_1_485?s=apparel&ie=UTF8&qid=1548232187&sr=1-485&nodeID=1045564&psd=1
AITITIA Men's Biker Zipper Deco Washed Straight Fit Jean,$25.99 - $35.99,2,https://www.amazon.com/AITITIA-Biker-Zipper-Washed-Straight/dp/B07J4N7F8N/ref=sr_1_486?s=apparel&ie=UTF8&qid=1548232187&sr=1-486&nodeID=1045564&psd=1
Naked & Famous Denim Men's Weird Guy In Left Hand Twill Selvedge,$140.00 - $145.00,6,https://www.amazon.com/Naked-Famous-Denim-Weird-Selvedge/dp/B00RCXQKB6/ref=sr_1_487?s=apparel&ie=UTF8&qid=1548232187&sr=1-487&nodeID=1045564&psd=1
