category,price,pro_name,pro_url,review_num
mong,40000 ,Móng tay giả Trong Suốt Hộp 100 Cái (kèm dũa+keo dán),https://www.lazada.vn/products/mong-tay-gia-trong-suot-hop-100-cai-kem-duakeo-dan-i248925829-s327358867.html?search=1,65
mong,18000 ,Sơn Móng Tay Màu Cao Cấp Maycreate ( loại 11ml- 26 màu),https://www.lazada.vn/products/son-mong-tay-mau-cao-cap-maycreate-loai-11ml-26-mau-i263824522-s378328893.html?search=1,8
mong,59000 ,Bộ Kiềm Cắt Móng 12 Món Lớn (Hàng Cao Cấp),https://www.lazada.vn/products/bo-kiem-cat-mong-12-mon-lon-hang-cao-cap-i270880429-s403052105.html?search=1,65
mong,52000 ,Bộ Cắt Móng Tay 12 Món Tiện Dụng - Bộ Kềm cắt móng russia 12 món (lớn ) Bộ kềm cắt móng tay chân,https://www.lazada.vn/products/bo-cat-mong-tay-12-mon-tien-dung-bo-kem-cat-mong-russia-12-mon-lon-bo-kem-cat-mong-tay-chan-i158158501-s169669475.html?search=1,112
mong,15000 ,Son Móng Nhiều Màu Gốc Nước Có Thể lột Dịu Nhẹ Cho Móng L0221,https://www.lazada.vn/products/son-mong-nhieu-mau-goc-nuoc-co-the-lot-diu-nhe-cho-mong-l0221-i266522698-s388938279.html?search=1,16
phu-kien-trang-diem,27000 ,[Siêu thị Lazada] - Bông trang điểm (bông tẩy trang) Silcot Hộp 82 miếng,https://www.lazada.vn/products/sieu-thi-lazada-bong-trang-diem-bong-tay-trang-silcot-hop-82-mieng-i263312845-s376154634.html?search=1,110
phu-kien-trang-diem,34000 ,Bông trang điểm (Bông tẩy trang) Silcot hộp 82 miếng,https://www.lazada.vn/products/bong-trang-diem-bong-tay-trang-silcot-hop-82-mieng-i205951332-s256319787.html?search=1,427
phu-kien-trang-diem,32000 ,Dao Cạo Thay Lưỡi Schick Execta 2 System Vỉ 1 Cây Và 2 Đầu Cạo,https://www.lazada.vn/products/dao-cao-thay-luoi-schick-execta-2-system-vi-1-cay-va-2-dau-cao-i276340986-s425938255.html?search=1,427
phu-kien-trang-diem,79000 ,Giỏ đựng đồ makeup cho lazy girl,https://www.lazada.vn/products/gio-dung-do-makeup-cho-lazy-girl-i279518411-s436256553.html?search=1,427
phu-kien-trang-diem,55000 ,BỘ CỌ TRANG ĐIỂM MAC 12 CÂY BAO DA,https://www.lazada.vn/products/bo-co-trang-diem-mac-12-cay-bao-da-i273108070-s415750036.html?search=1,3
