,Unnamed: 0,名字,投票人数,类型,产地,上映时间,时长,年代,评分,首映地点
15125,15125,库布里克的奥德赛,55.0,纪录片,美国,2011-07-03 00:00:00,69,2011,8.2,美国
15126,15126,库尔特是残酷的,505.0,喜剧,其他,2008-10-31 00:00:00,74,2008,6.7,美国
15127,15127,库斯图里卡：巴尔干坏男孩,94.0,纪录片,其他,2012-03-01 00:00:00,60,2012,7.4,索菲亚国际电影节
15128,15128,关人鬼事,114.0,恐怖,中国,1991-06-10 00:00:00,60,1991,6.3,美国
15129,15129,酷毙了,3838.0,剧情,美国,2015-06-19 00:00:00,103,2015,7.1,美国
15130,15130,酷儿电影,115.0,剧情,韩国,2013-12-06 00:00:00,20,2013,4.3,韩国
15131,15131,酷儿女神,28.0,纪录片,美国,2013-10-25 00:00:00,90,2013,7.7,美国
15132,15132,酷狗大圣,53.0,喜剧,法国,1997-01-29 00:00:00,105,1997,7.4,美国
15133,15133,酷狗上学记,99.0,喜剧,美国,2004-01-16 00:00:00,74,2004,7.4,美国
15134,15134,酷猫妙探,931.0,喜剧,美国,1997-02-14 00:00:00,89,1997,6.9,美国
15135,15135,酷我随行,570.0,剧情,美国,2013-06-21 00:00:00,92,2013,6.5,美国
15136,15136,酷越街球,514.0,动作,美国,2006-07-22 00:00:00,95,2006,6.0,美国
15137,15137,挎斗摩托车里的狗 サイドカーに,1258.0,剧情,日本,2007-06-23 00:00:00,94,2007,7.8,日本
15138,15138,跨国银行,9140.0,动作,美国,2009-02-13 00:00:00,118,2009,6.4,美国
15139,15139,跨过边境的一步,86.0,纪录片,德国,1990-06-13 00:00:00,90,1990,9.4,美国
15140,15140,鬼学校 鬼學,114.0,恐怖,中国,2001-01-21 00:00:00,60,2001,3.3,香港
15141,15141,跨跃彩虹,1678.0,剧情,韩国,2002-05-03 00:00:00,109,2002,8.4,韩国
15142,15142,爱的成人式 イニシエーション・,14869.0,剧情,日本,2015-05-23 00:00:00,110,2015,7.6,日本
15143,15143,玛丽娜,114.0,传记,比利时,2013-11-06 00:00:00,60,2013,7.6,比利时
15144,15144,贫民英雄 貧民英,114.0,喜剧,中国,2012-05-18 00:00:00,60,2012,3.8,台湾
15145,15145,快递包裹,179.0,科幻,德国,2005-04-09 00:00:00,9,2005,8.0,美国
15146,15146,快递惊魂,1528.0,动作,韩国,2011-07-21 00:00:00,115,2011,6.0,韩国
15147,15147,快活的周日,44.0,短片,法国,1935年,20,1935,6.6,美国
15148,15148,快活林,448.0,动作,中国,1972-09-20 00:00:00,93,1972,7.1,美国
15149,15149,快乐 Счасть,37.0,剧情,俄罗斯,1934-03-15 00:00:00,95,1934,7.4,美国
15150,15150,快乐爱情,62.0,喜剧,美国,1949-10-12 00:00:00,85,1949,7.4,美国
15151,15151,乞力马扎罗,114.0,纪录片,美国,2002-03-01 00:00:00,60,2002,8.0,美国
15152,15152,处女之死,14097.0,剧情,美国,1999-05-19 00:00:00,97,1999,7.6,戛纳电影节
15153,15153,快乐到死,7657.0,剧情,韩国,1999-12-11 00:00:00,99,1999,6.8,韩国
15154,15154,快乐的暴力团转地球 陽気なギャングが地球を回,725.0,喜剧,日本,2006-05-13 00:00:00,92,2006,7.1,美国
15155,15155,大富之家,13034.0,喜剧,中国,1994-02-06 00:00:00,94,1994,7.6,香港
15156,15156,大梦想家,12657.0,剧情,美国,2013-12-13 00:00:00,125,2013,7.6,美国
15157,15157,快乐的吉普赛人,100.0,剧情,其他,1967-03-27 00:00:00,94,1967,7.5,美国
15158,15158,快乐的结局,1553.0,喜剧,其他,1967-06-10 00:00:00,71,1967,8.6,美国
15159,15159,全金属暴徒 フルメタル極,114.0,喜剧,日本,1997-12-05 00:00:00,60,1997,7.3,美国
15160,15160,快乐的人们,584.0,纪录片,德国,2010-07-02 00:00:00,90,2010,8.7,美国
15161,15161,偷欢嫁期,114.0,喜剧,韩国,2003-09-05 00:00:00,60,2003,6.0,美国
15162,15162,快乐的一天,838.0,喜剧,美国,1919-12-15 00:00:00,25,1919,8.1,美国
15163,15163,快乐的忧郁,112.0,爱情,美国,2013-06-21 00:00:00,87,2013,5.2,美国
15164,15164,快乐的噪音,188.0,喜剧,美国,2012-01-13 00:00:00,117,2012,6.1,美国
15165,15165,快乐方程式 快楽の方程,1363.0,动画,日本,1995-07-14 00:00:00,30,1995,6.2,日本
15166,15166,快乐结局,260.0,剧情,美国,2003-12-24 00:00:00,98,2003,7.3,法国
15167,15167,快乐杀人女搜查官 快楽殺人女捜査官　,998.0,情色,日本,1996-06-07 00:00:00,80,1996,5.5,美国
15168,15168,快乐神仙狗,32.0,爱情,美国,1996-03-29 00:00:00,82,1996,6.0,美国
15169,15169,快乐圣诞,357.0,喜剧,韩国,2003-12-17 00:00:00,110,2003,5.9,韩国
15170,15170,快乐时光,76.0,剧情,意大利,2013-10-03 00:00:00,100,2013,7.8,意大利
15171,15171,快乐天地,79.0,剧情,英国,1944-06-01 00:00:00,105,1944,7.6,美国
15172,15172,快乐天使,32.0,喜剧,中国,1960-06-16 00:00:00,116,1960,6.4,美国
15173,15173,英国医生,114.0,纪录片,英国,2007-10-31 00:00:00,60,2007,8.2,美国
15174,15174,快乐小鸭,66.0,喜剧,美国,1958-01-03 00:00:00,6,1958,8.6,美国
15175,15175,快乐学园 快楽学園 禁じられた,972.0,情色,日本,1980-11-21 00:00:00,67,1980,6.5,美国
15176,15176,长崎漫步曲 長崎ぶらぶら,114.0,剧情,日本,2000-09-15 00:00:00,60,2000,8.3,美国
15177,15177,快跑惊魂,145.0,剧情,法国,2008-02-05 00:00:00,90,2008,5.7,美国
15178,15178,快钱 ,957.0,剧情,西班牙,2010-06-16 00:00:00,15,2010,7.2,西班牙
15179,15179,快闪部队2：核危,75.0,喜剧,其他,2014-01-17 00:00:00,96,2014,3.2,美国
15180,15180,快要坏掉的八音盒 こわれかけのオルゴー,2547.0,剧情,日本,2009-12-29 00:00:00,8,2009,7.9,日本
